epoch,accuracy,loss,val_accuracy,val_loss
0,0.7710000276565552,0.6528448462486267,0.8849999904632568,0.28325706720352173
1,0.8644999861717224,0.35098567605018616,0.862500011920929,0.3591041564941406
2,0.8895000219345093,0.30999988317489624,0.8862500190734863,0.28526079654693604
3,0.9110000133514404,0.25883156061172485,0.8799999952316284,0.35203301906585693
4,0.9129999876022339,0.22932589054107666,0.8974999785423279,0.3030015528202057
5,0.9290000200271606,0.19865889847278595,0.9049999713897705,0.3605038821697235
6,0.9319999814033508,0.19880883395671844,0.9024999737739563,0.3604227304458618
7,0.9465000033378601,0.16062061488628387,0.8787500262260437,0.406009703874588
8,0.9455000162124634,0.1480368971824646,0.8924999833106995,0.3790239095687866
9,0.9474999904632568,0.13513128459453583,0.8999999761581421,0.4177212119102478
10,0.9589999914169312,0.11869944632053375,0.8999999761581421,0.5137842893600464
11,0.9570000171661377,0.125405415892601,0.9049999713897705,0.4392447769641876
12,0.9645000100135803,0.1041773334145546,0.8924999833106995,0.5365532636642456
13,0.9710000157356262,0.09768715500831604,0.8912500143051147,0.5605215430259705
14,0.9695000052452087,0.09693770855665207,0.8999999761581421,0.5737318992614746
15,0.9754999876022339,0.07544991374015808,0.8837500214576721,0.6287533640861511
16,0.9750000238418579,0.07606768608093262,0.8812500238418579,0.6925354599952698
17,0.987500011920929,0.04518643021583557,0.8924999833106995,0.7156731486320496
18,0.984000027179718,0.054587025195360184,0.8962500095367432,0.7031362056732178
19,0.9835000038146973,0.041241198778152466,0.875,0.8441011905670166
20,0.9850000143051147,0.04346512258052826,0.9024999737739563,0.6744948029518127
21,0.9825000166893005,0.05430832505226135,0.8899999856948853,0.9093940258026123
22,0.9884999990463257,0.04154607281088829,0.8899999856948853,0.8151211738586426
23,0.9869999885559082,0.03636488318443298,0.8987500071525574,0.804420530796051
24,0.9904999732971191,0.03992502763867378,0.8974999785423279,0.8719968199729919
25,0.9919999837875366,0.029246916994452477,0.8849999904632568,0.9571288824081421
26,0.9879999756813049,0.040839001536369324,0.90625,0.8154574036598206
27,0.9909999966621399,0.028388790786266327,0.8924999833106995,1.0465419292449951
28,0.9919999837875366,0.034054797142744064,0.8999999761581421,0.9332676529884338
29,0.9965000152587891,0.011339855380356312,0.8725000023841858,1.143791913986206
30,0.9929999709129333,0.02047845907509327,0.9012500047683716,0.9185165166854858
31,0.9950000047683716,0.0188657958060503,0.8862500190734863,1.0672868490219116
32,0.9915000200271606,0.02169586718082428,0.8987500071525574,0.8864043951034546
33,0.9929999709129333,0.020439429208636284,0.9037500023841858,0.9521162509918213
34,0.9919999837875366,0.025839947164058685,0.8912500143051147,1.0259032249450684
35,0.9975000023841858,0.007221413776278496,0.893750011920929,1.1347960233688354
36,0.9904999732971191,0.03146754205226898,0.8974999785423279,1.082182765007019
37,0.9950000047683716,0.014430060051381588,0.8887500166893005,1.272345781326294
38,0.9955000281333923,0.014712978154420853,0.893750011920929,1.188808798789978
39,0.9934999942779541,0.02928866259753704,0.8999999761581421,1.1182738542556763
40,0.9925000071525574,0.03221574053168297,0.887499988079071,1.2215138673782349
41,0.9944999814033508,0.02134845405817032,0.9024999737739563,1.0780837535858154
42,0.9959999918937683,0.01077550370246172,0.8924999833106995,1.19501531124115
43,0.9950000047683716,0.020573105663061142,0.8837500214576721,1.4453014135360718
44,0.9944999814033508,0.012443888001143932,0.8987500071525574,1.240574598312378
45,0.996999979019165,0.010991433635354042,0.9024999737739563,1.3290398120880127
46,0.9950000047683716,0.01845535635948181,0.8987500071525574,1.2136948108673096
47,0.996999979019165,0.011011949740350246,0.8887500166893005,1.4668241739273071
48,0.9944999814033508,0.016349168494343758,0.893750011920929,1.142164945602417
49,0.9984999895095825,0.005555509123951197,0.8887500166893005,1.4725743532180786
50,0.9965000152587891,0.012608008459210396,0.893750011920929,1.2759175300598145
51,0.9965000152587891,0.02663746103644371,0.8912500143051147,1.296128511428833
52,0.9980000257492065,0.007692594081163406,0.8974999785423279,1.3592529296875
53,0.9984999895095825,0.007962612435221672,0.8949999809265137,1.4316939115524292
54,0.9965000152587891,0.011493653059005737,0.8949999809265137,1.4938035011291504
55,0.9990000128746033,0.005975274369120598,0.8912500143051147,1.520843505859375
56,0.9950000047683716,0.015818007290363312,0.8999999761581421,1.4332705736160278
57,0.996999979019165,0.010025854222476482,0.8999999761581421,1.3941563367843628
58,0.9975000023841858,0.007780737709254026,0.8924999833106995,1.463636040687561
59,0.9965000152587891,0.015524249523878098,0.8924999833106995,1.5013939142227173
60,0.9975000023841858,0.009784383699297905,0.893750011920929,1.4390816688537598
61,0.9984999895095825,0.008102276362478733,0.8912500143051147,1.350989818572998
62,0.996999979019165,0.010767966508865356,0.893750011920929,1.2694261074066162
